        BP2000 Sound Speeds 

       R/R_sun    Sound speed
                     (km/s)

    0.136194    494.355
    0.137047    493.932
    0.137909    493.500
    0.138781    493.059
    0.139663    492.609
    0.140556    492.148
    0.141460    491.678
    0.142376    491.197
    0.143304    490.705
    0.144244    490.203
    0.145197    489.688
    0.146163    489.162
    0.147144    488.624
    0.148139    488.073
    0.149150    487.509
    0.150176    486.931
    0.151219    486.339
    0.152280    485.732
    0.153359    485.110
    0.154457    484.471
    0.155575    483.816
    0.156715    483.143
    0.157877    482.452
    0.159062    481.742
    0.160273    481.011
    0.161510    480.259
    0.162775    479.484
    0.164071    478.685
    0.165398    477.861
    0.166759    477.010
    0.168157    476.130
    0.169594    475.220
    0.171073    474.277
    0.172597    473.299
    0.174170    472.283
    0.175796    471.227
    0.177479    470.127
    0.179224    468.980
    0.181038    467.781
    0.182895    466.547
    0.184744    465.312
    0.186586    464.077
    0.188420    462.841
    0.190248    461.605
    0.192068    460.370
    0.193881    459.136
    0.195688    457.904
    0.197489    456.673
    0.199283    455.444
    0.201071    454.218
    0.202853    452.994
    0.204630    451.773
    0.206400    450.555
    0.208165    449.340
    0.209925    448.129
    0.211680    446.922
    0.213429    445.718
    0.215174    444.518
    0.216914    443.322
    0.218649    442.129
    0.220380    440.941
    0.222106    439.758
    0.223828    438.579
    0.225546    437.404
    0.227259    436.235
    0.228969    435.069
    0.230675    433.909
    0.232378    432.754
    0.234076    431.603
    0.235772    430.458
    0.237463    429.317
    0.239152    428.182
    0.240838    427.052
    0.242520    425.927
    0.244199    424.806
    0.245876    423.692
    0.247550    422.582
    0.249221    421.477
    0.250890    420.378
    0.252556    419.283
    0.254220    418.194
    0.255881    417.109
    0.257541    416.029
    0.259198    414.954
    0.260853    413.885
    0.262506    412.820
    0.264157    411.760
    0.265807    410.705
    0.267454    409.655
    0.269100    408.609
    0.270745    407.569
    0.272388    406.533
    0.274029    405.503
    0.275670    404.478
    0.277309    403.458
    0.278946    402.444
    0.280583    401.435
    0.282218    400.432
    0.283853    399.433
    0.285487    398.441
    0.287119    397.453
    0.288752    396.471
    0.290383    395.494
    0.292013    394.522
    0.293644    393.555
    0.295273    392.593
    0.296902    391.636
    0.298531    390.684
    0.300159    389.736
    0.301787    388.793
    0.303415    387.855
    0.305043    386.921
    0.306671    385.991
    0.308298    385.065
    0.309926    384.144
    0.311554    383.227
    0.313181    382.314
    0.314809    381.405
    0.316437    380.500
    0.318066    379.599
    0.319694    378.702
    0.321324    377.808
    0.322953    376.918
    0.324583    376.032
    0.326213    375.149
    0.327844    374.269
    0.329475    373.393
    0.331107    372.521
    0.332740    371.652
    0.334373    370.786
    0.336007    369.923
    0.337642    369.064
    0.339278    368.209
    0.340914    367.356
    0.342551    366.507
    0.344189    365.660
    0.345829    364.818
    0.347469    363.978
    0.349110    363.141
    0.350752    362.308
    0.352395    361.477
    0.354040    360.650
    0.355686    359.826
    0.357332    359.005
    0.358980    358.186
    0.360630    357.371
    0.362280    356.559
    0.363932    355.749
    0.365586    354.943
    0.367240    354.139
    0.368897    353.338
    0.370554    352.540
    0.372213    351.744
    0.373874    350.951
    0.375536    350.161
    0.377200    349.372
    0.378865    348.587
    0.380532    347.804
    0.382201    347.024
    0.383871    346.246
    0.385543    345.471
    0.387216    344.698
    0.388892    343.927
    0.390569    343.160
    0.392248    342.394
    0.393929    341.631
    0.395611    340.871
    0.397296    340.113
    0.398982    339.357
    0.400670    338.604
    0.402361    337.853
    0.404053    337.104
    0.405747    336.358
    0.407443    335.614
    0.409141    334.872
    0.410842    334.133
    0.412544    333.395
    0.414248    332.660
    0.415955    331.927
    0.417663    331.197
    0.419374    330.468
    0.421087    329.742
    0.422802    329.018
    0.424519    328.295
    0.426239    327.575
    0.427960    326.856
    0.429684    326.139
    0.431411    325.424
    0.433139    324.711
    0.434870    324.000
    0.436603    323.290
    0.438338    322.582
    0.440076    321.876
    0.441816    321.172
    0.443559    320.470
    0.445303    319.769
    0.447051    319.070
    0.448800    318.372
    0.450552    317.676
    0.452307    316.982
    0.454064    316.290
    0.455823    315.599
    0.457585    314.910
    0.459349    314.222
    0.461116    313.536
    0.462885    312.852
    0.464657    312.169
    0.466431    311.487
    0.468208    310.807
    0.469987    310.129
    0.471769    309.452
    0.473554    308.776
    0.475341    308.102
    0.477130    307.429
    0.478922    306.757
    0.480717    306.087
    0.482514    305.417
    0.484314    304.749
    0.486117    304.083
    0.487922    303.417
    0.489729    302.753
    0.491539    302.089
    0.493352    301.427
    0.495168    300.766
    0.496986    300.106
    0.498806    299.448
    0.500629    298.790
    0.502455    298.134
    0.504283    297.478
    0.506114    296.824
    0.507948    296.171
    0.509784    295.519
    0.511623    294.867
    0.513464    294.217
    0.515308    293.568
    0.517155    292.920
    0.519004    292.272
    0.520856    291.626
    0.522710    290.980
    0.524567    290.335
    0.526427    289.691
    0.528289    289.048
    0.530154    288.405
    0.532021    287.763
    0.533891    287.122
    0.535763    286.481
